,Planet,Earth_Masses,Temperature_Kelvin,Year,Distance
1592,Kepler-286 b,35.2758,1469.7,2014,3875.6184
1593,Kepler-286 c,38.7716,1180.3,2014,3875.6184
1594,Kepler-286 d,37.8182,987.9,2014,3875.6184
1595,Kepler-286 e,50.2124,580,2014,3875.6184
1596,Kepler-287 b,66.1024,744.7,2014,3452.2096
1597,Kepler-287 c,92.4798,572.1,2014,3452.2096
1598,Kepler-288 b,47.3522,1166.1,2014,4508.5474
1599,Kepler-288 c,80.7212,794.1,2014,4508.5474
1600,Kepler-288 d,75.6364,554.7,2014,4508.5474
1601,Kepler-289 b,68.9626,676.4,2014,2282
1602,Kepler-289 c,369.6014,439.6,2014,2282
1603,Kepler-29 b,102.0138,891.3,2012,4061.96
1604,Kepler-29 c,81.9924,819.7,2012,4061.96
1605,Kepler-290 b,63.8778,625.8,2014,2850.7396
1606,Kepler-290 c,76.5898,459.8,2014,2850.7396
1607,Kepler-291 b,61.3354,1367.2,2014,6193.674
1608,Kepler-291 c,53.3904,1167.2,2014,6193.674
1609,Kepler-292 b,37.5004,1210,2014,3964.8772
1610,Kepler-292 c,41.6318,1071.6,2014,3964.8772
1611,Kepler-292 d,63.2422,865.4,2014,3964.8772
1612,Kepler-292 e,75.6364,725.4,2014,3964.8772
1613,Kepler-292 f,66.738,603.2,2014,3964.8772
1614,Kepler-293 b,87.0772,730.1,2014,4203.6722
1615,Kepler-293 c,108.6876,517.2,2014,4203.6722
1616,Kepler-294 b,50.2124,1301.5,2014,5537.6968
1617,Kepler-294 c,76.9076,1071.9,2014,5537.6968
1618,Kepler-295 b,34.6402,785.4,2014,2405.3584
1619,Kepler-295 c,33.0512,657.8,2014,2405.3584
1620,Kepler-295 d,38.4538,565.5,2014,2405.3584
1621,Kepler-296 b,26.6952,711.7,2014,1820.71
1622,Kepler-296 c,61.0176,606.8,2014,1820.71
1623,Kepler-296 d,64.5134,403.6,2014,1820.71
1624,Kepler-296 e,49.5768,336.9,2014,1820.71
