Planet,Earth_Masses,Temperature_Kelvin,Year
Kepler-1117 b,31.4622,1116,2016
Kepler-1118 b,77.5432,574.8,2016
Kepler-1119 b,54.3438,1099.5,2016
Kepler-112 b,67.0558,861.7,2014
Kepler-112 c,68.0092,573.1,2014
Kepler-1120 b,39.0894,1056.7,2016
Kepler-1121 b,54.026,1099.5,2016
Kepler-1122 b,57.8396,525,2016
Kepler-1123 b,47.3522,1115.9,2016
Kepler-1124 b,36.2292,617.5,2016
Kepler-1125 b,52.1192,735.3,2016
Kepler-1126 b,48.9412,409.6,2016
Kepler-1127 b,55.615,1109.3,2016
Kepler-1128 b,103.6028,466.2,2016
Kepler-1129 b,83.8992,693.4,2016
Kepler-1129 c,77.5432,473.3,2016
Kepler-113 b,51.4836,844,2014
Kepler-1130 b,22.5638,969,2016
Kepler-1131 b,45.1276,1343.7,2016
Kepler-1132 b,66.738,428.1,2016
Kepler-1133 b,55.9328,815.2,2016
Kepler-1134 b,75.0008,654.1,2016
Kepler-1135 b,52.437,447.3,2016
Kepler-1136 b,46.3988,1017.1,2016
Kepler-1137 b,62.2888,1032.3,2016
Kepler-1138 b,48.3056,1266.8,2016
Kepler-1139 b,33.6868,1975.2,2016
Kepler-114 b,35.5936,748.7,2014
Kepler-1140 b,78.4966,517.7,2016
Kepler-1141 b,23.1994,1551.5,2016
Kepler-1142 b,41.6318,732.1,2016
Kepler-1143 b,47.3522,1111.3,2016
Kepler-1143 c,102.0138,266,2016
Kepler-1144 b,56.5684,755.9,2016
Kepler-1145 b,39.725,992.7,2016
Kepler-1146 b,34.958,1069.6,2016
Kepler-1147 b,74.0474,980.2,2016
Kepler-1148 b,47.9878,1531.5,2016
Kepler-1149 b,40.6784,1298.3,2016
Kepler-115 b,30.8266,1688.6,2014
Kepler-115 c,73.7296,1087.8,2014
Kepler-1150 b,28.9198,1034,2016
Kepler-1151 b,62.9244,440.1,2016
Kepler-1152 b,24.7884,930.5,2016
Kepler-1153 b,48.9412,1489.1,2016
Kepler-1154 b,66.4202,1449.6,2016
Kepler-1154 c,67.0558,1231.4,2016
Kepler-1155 b,57.5218,630.9,2016
Kepler-1156 b,37.5004,872.3,2016
Kepler-1157 b,30.8266,864.3,2016
Kepler-1158 b,66.4202,1182.8,2016
Kepler-1159 b,67.0558,831.6,2016
Kepler-116 b,96.929,1407.1,2014
Kepler-116 c,65.149,1083.6,2014
Kepler-1160 b,60.6998,910.9,2016
Kepler-1161 b,60.382,548.1,2016
Kepler-1162 b,62.6066,543.6,2016
Kepler-1163 b,29.2376,1334.8,2016
Kepler-1164 b,31.78,1029.7,2016
Kepler-1165 b,43.8564,1053.9,2016
Kepler-1166 b,47.9878,550.9,2016
Kepler-1167 b,48.6234,1541.1,2016
